permno,adate,qdate,public_date,CAPEI,evm,pe_exi,pe_inc,npm,roa,roe,de_ratio,quick_ratio,sale_nwc,TICKER
25785,12/31/1994,9/30/1995,1/31/1996,22.051,6.013,7.091,7.091,0.037,0.125,0.188,8.724,,,F
25785,12/31/1995,12/31/1995,2/29/1996,18.21,6.612,9.384,9.384,0.03,0.12,0.163,8.517,,,F
25785,12/31/1995,12/31/1995,3/31/1996,20.031,6.612,10.323,10.323,0.03,0.12,0.163,8.517,,,F
25785,12/31/1995,12/31/1995,4/30/1996,20.905,6.612,10.773,10.773,0.03,0.12,0.163,8.517,,,F
25785,12/31/1995,3/31/1996,5/31/1996,21.908,6.76,14.147,14.147,0.024,0.113,0.11,8.752,,,F
25785,12/31/1995,3/31/1996,6/30/1996,19.968,6.76,12.548,12.548,0.024,0.113,0.11,8.752,,,F
25785,12/31/1995,3/31/1996,7/31/1996,21.268,6.76,12.548,12.548,0.024,0.113,0.11,8.752,,,F
25785,12/31/1995,6/30/1996,8/31/1996,19.333,6.911,11.796,11.796,0.025,0.112,0.12,8.901,,,F
25785,12/31/1995,6/30/1996,9/30/1996,18.034,6.911,11.004,11.004,0.025,0.112,0.12,8.901,,,F
25785,12/31/1995,6/30/1996,10/31/1996,18.034,6.911,11.004,11.004,0.025,0.112,0.12,8.901,,,F
25785,12/31/1995,9/30/1996,11/30/1996,16.454,6.919,10.463,10.463,0.027,0.112,0.13,8.981,,,F
25785,12/31/1995,9/30/1996,12/31/1996,16.203,6.919,10.304,10.304,0.027,0.112,0.13,8.981,,,F
25785,12/31/1995,9/30/1996,1/31/1997,16.14,6.919,10.264,10.264,0.027,0.112,0.13,8.981,,,F
25785,12/31/1996,12/31/1996,2/28/1997,12.24,6.821,9.032,9.032,0.03,0.115,0.148,8.596,,,F
25785,12/31/1996,12/31/1996,3/31/1997,11.723,6.821,8.62,8.62,0.03,0.115,0.148,8.596,,,F
25785,12/31/1996,12/31/1996,4/30/1997,12.984,6.821,9.547,9.547,0.03,0.115,0.148,8.596,,,F
25785,12/31/1996,3/31/1997,5/31/1997,14.796,6.425,4.978,4.978,0.035,0.119,0.168,8.847,,,F
25785,12/31/1996,3/31/1997,6/30/1997,14.114,6.425,5.044,5.044,0.035,0.119,0.168,8.847,,,F
25785,12/31/1996,3/31/1997,7/31/1997,15.182,6.425,5.425,5.425,0.035,0.119,0.168,8.847,,,F
25785,12/31/1996,6/30/1997,8/31/1997,14.5,6.284,5.125,5.125,0.039,0.121,0.185,8.651,,,F
25785,12/31/1996,6/30/1997,9/30/1997,15.217,6.284,5.378,5.378,0.039,0.121,0.185,8.651,,,F
25785,12/31/1996,6/30/1997,10/31/1997,14.732,6.284,5.207,5.207,0.039,0.121,0.185,8.651,,,F
25785,12/31/1996,9/30/1997,11/30/1997,13.284,6.303,4.786,4.786,0.041,0.124,0.194,8.489,,,F
25785,12/31/1996,9/30/1997,12/31/1997,15.002,6.303,5.405,5.405,0.041,0.124,0.194,8.489,,,F
25785,12/31/1996,9/30/1997,1/31/1998,15.755,6.303,5.676,5.676,0.041,0.124,0.194,8.489,,,F
25785,12/31/1997,12/31/1997,2/28/1998,13.681,6.709,10.064,10.064,0.045,0.125,0.206,7.914,,,F
25785,12/31/1997,12/31/1997,3/31/1998,15.843,6.709,11.532,11.532,0.045,0.125,0.206,7.914,,,F
25785,12/31/1997,12/31/1997,4/30/1998,11.198,6.709,8.152,8.152,0.045,0.125,0.206,7.914,,,F
25785,12/31/1997,3/31/1998,5/31/1998,11.419,6.244,1.592,1.592,0.151,0.126,0.672,8.439,,,F
25785,12/31/1997,3/31/1998,6/30/1998,12.987,6.244,1.811,1.811,0.151,0.126,0.672,8.439,,,F
25785,12/31/1997,3/31/1998,7/31/1998,12.532,6.244,1.749,1.749,0.151,0.126,0.672,8.439,,,F
25785,12/31/1997,6/30/1998,8/31/1998,8.049,6.223,1.383,1.383,0.153,0.129,0.693,8.571,,,F
25785,12/31/1997,6/30/1998,9/30/1998,8.478,6.223,1.457,1.457,0.153,0.129,0.693,8.571,,,F
25785,12/31/1997,6/30/1998,10/31/1998,9.772,6.223,1.681,1.681,0.153,0.129,0.693,8.571,,,F
25785,12/31/1997,9/30/1998,11/30/1998,8.457,6.093,1.717,1.717,0.156,0.132,0.718,8.685,,,F
25785,12/31/1997,9/30/1998,12/31/1998,9.014,6.093,1.83,1.83,0.156,0.132,0.718,8.685,,,F
25785,12/31/1997,9/30/1998,1/31/1999,9.436,6.093,1.915,1.915,0.156,0.132,0.718,8.685,,,F
25785,12/31/1998,12/31/1998,2/28/1999,7.878,6.32,3.34,3.34,0.153,0.125,0.678,9.075,,,F
25785,12/31/1998,12/31/1998,3/31/1999,7.54,6.32,3.192,3.192,0.153,0.125,0.678,9.075,,,F
25785,12/31/1998,12/31/1998,4/30/1999,8.505,6.32,3.6,3.6,0.153,0.125,0.678,9.075,,,F
25785,12/31/1998,3/31/1999,5/31/1999,7.613,6.206,6.562,6.346,0.043,0.138,0.215,8.908,,,F
25785,12/31/1998,3/31/1999,6/30/1999,7.521,6.206,6.483,6.269,0.043,0.138,0.215,8.908,,,F
25785,12/31/1998,3/31/1999,7/31/1999,6.464,6.206,5.571,5.388,0.043,0.138,0.215,8.908,,,F
25785,12/31/1998,6/30/1999,8/31/1999,6.863,6.37,6.304,5.824,0.039,0.134,0.197,8.925,,,F
25785,12/31/1998,6/30/1999,9/30/1999,6.605,6.37,6.078,5.615,0.039,0.134,0.197,8.925,,,F
25785,12/31/1998,6/30/1999,10/31/1999,7.213,6.37,6.637,6.131,0.039,0.134,0.197,8.925,,,F
25785,12/31/1998,9/30/1999,11/30/1999,6.575,6.518,6.134,5.524,0.038,0.13,0.189,8.995,,,F
25785,12/31/1998,9/30/1999,12/31/1999,6.941,6.518,6.475,5.832,0.038,0.13,0.189,8.995,,,F
25785,12/31/1998,9/30/1999,1/31/2000,6.477,6.518,6.043,5.442,0.038,0.13,0.189,8.995,,,F
25785,12/31/1999,12/31/1999,2/29/2000,5.281,6.484,7.103,7.103,0.045,0.131,0.222,8.967,,,F
25785,12/31/1999,12/31/1999,3/31/2000,5.82,6.484,7.839,7.839,0.045,0.131,0.222,8.967,,,F
25785,12/31/1999,12/31/1999,4/30/2000,6.937,6.484,9.343,9.343,0.045,0.131,0.222,8.967,,,F
25785,12/31/1999,3/31/2000,5/31/2000,6.24,6.501,5.135,4.661,0.04,0.124,0.197,8.895,,,F
25785,12/31/1999,3/31/2000,6/30/2000,5.525,6.501,4.547,4.127,0.04,0.124,0.197,8.895,,,F
25785,12/31/1999,3/31/2000,7/31/2000,6.07,6.501,4.924,4.469,0.04,0.124,0.197,8.895,,,F
25785,12/31/1999,6/30/2000,8/31/2000,5.177,6.265,4.857,6.737,0.036,0.125,0.174,9.259,,,F
25785,12/31/1999,6/30/2000,9/30/2000,5.418,6.265,5.083,7.051,0.036,0.125,0.174,9.259,,,F
25785,12/31/1999,6/30/2000,10/31/2000,5.392,6.265,5.246,7.277,0.036,0.125,0.174,9.259,,,F
25785,12/31/1999,9/30/2000,11/30/2000,4.669,6.179,5.781,8.849,0.035,0.125,0.171,10.307,,,F
25785,12/31/1999,9/30/2000,12/31/2000,4.811,6.179,5.956,9.116,0.035,0.125,0.171,10.307,,,F
25785,12/31/1999,9/30/2000,1/31/2001,5.786,6.179,7.164,10.965,0.035,0.125,0.171,10.307,,,F
25785,12/31/2000,12/31/2000,2/28/2001,5.508,5.988,7.747,12.091,0.032,0.125,0.171,14.283,,,F
25785,12/31/2000,12/31/2000,3/31/2001,5.569,5.988,7.833,12.226,0.032,0.125,0.171,14.283,,,F
25785,12/31/2000,12/31/2000,4/30/2001,5.635,5.988,8.212,12.817,0.032,0.125,0.171,14.283,,,F
25785,12/31/2000,3/31/2001,5/31/2001,4.747,5.988,10.277,17.504,0.027,0.11,0.144,13.638,,,F
25785,12/31/2000,3/31/2001,6/30/2001,4.786,5.988,10.361,17.648,0.027,0.11,0.144,13.638,,,F
25785,12/31/2000,3/31/2001,7/31/2001,4.915,5.988,10.75,18.309,0.027,0.11,0.144,13.638,,,F
25785,12/31/2000,6/30/2001,8/31/2001,3.862,5.988,15.77,15.77,0.014,0.08,0.08,16.101,,,F
25785,12/31/2000,6/30/2001,9/30/2001,3.372,5.988,13.77,13.77,0.014,0.08,0.08,16.101,,,F
25785,12/31/2000,6/30/2001,10/31/2001,3.12,5.988,12.738,12.738,0.014,0.08,0.08,16.101,,,F
25785,12/31/2000,9/30/2001,11/30/2001,3.747,5.988,47.35,52.611,0.005,0.059,0.029,17.382,,,F
25785,12/31/2000,9/30/2001,12/31/2001,3.11,5.988,39.3,43.667,0.005,0.059,0.029,17.382,,,F
25785,12/31/2000,9/30/2001,1/31/2002,3.022,5.988,38.25,42.5,0.005,0.059,0.029,17.382,,,F
25785,12/31/2001,12/31/2001,2/28/2002,3.574,10.191,-4.927,-4.927,-0.034,0.069,-0.24,34.518,,,F
25785,12/31/2001,12/31/2001,3/31/2002,3.961,10.191,-5.46,-5.46,-0.034,0.069,-0.24,34.518,,,F
25785,12/31/2001,12/31/2001,4/30/2002,3.837,10.191,-5.298,-5.298,-0.034,0.069,-0.24,34.518,,,F
25785,12/31/2001,3/31/2002,5/31/2002,3.981,10.191,-4.903,-4.202,-0.041,0.018,-0.296,25.443,,,F
25785,12/31/2001,3/31/2002,6/30/2002,3.609,10.191,-4.444,-3.81,-0.041,0.018,-0.296,25.443,,,F
25785,12/31/2001,3/31/2002,7/31/2002,3.038,10.191,-3.742,-3.207,-0.041,0.018,-0.296,25.443,,,F
25785,12/31/2001,6/30/2002,8/31/2002,2.875,10.191,-4.13,-3.382,-0.032,0.036,-0.255,28.043,,,F
25785,12/31/2001,6/30/2002,9/30/2002,2.394,10.191,-3.439,-2.816,-0.032,0.036,-0.255,28.043,,,F
25785,12/31/2001,6/30/2002,10/31/2002,2.149,10.191,-2.968,-2.431,-0.032,0.036,-0.255,28.043,,,F
25785,12/31/2001,9/30/2002,11/30/2002,3.033,10.191,-4.327,-3.47,-0.029,0.049,-0.243,31.079,,,F
25785,12/31/2001,9/30/2002,12/31/2002,2.479,10.191,-3.536,-2.835,-0.029,0.049,-0.243,31.079,,,F
25785,12/31/2001,9/30/2002,1/31/2003,2.428,10.191,-3.464,-2.777,-0.029,0.049,-0.243,31.079,,,F
25785,12/31/2002,12/31/2002,2/28/2003,2.484,7.641,55.467,-15.407,0.002,0.086,0.015,50.763,,,F
25785,12/31/2002,12/31/2002,3/31/2003,2.24,7.641,50.133,-13.926,0.002,0.086,0.015,50.763,,,F
25785,12/31/2002,12/31/2002,4/30/2003,3.067,7.641,68.667,-19.074,0.002,0.086,0.015,50.763,,,F
25785,12/31/2002,3/31/2003,5/31/2003,3.556,8.775,16.935,21.429,0.008,0.075,0.064,34.764,,,F
25785,12/31/2002,3/31/2003,6/30/2003,3.722,8.775,17.726,22.429,0.008,0.075,0.064,34.764,,,F
25785,12/31/2002,3/31/2003,7/31/2003,3.746,8.775,17.839,22.571,0.008,0.075,0.064,34.764,,,F
25785,12/31/2002,6/30/2003,8/31/2003,4.963,11.122,21.407,27.524,0.007,0.058,0.053,37.536,,,F
25785,12/31/2002,6/30/2003,9/30/2003,4.623,11.122,19.944,25.643,0.007,0.058,0.053,37.536,,,F
25785,12/31/2002,6/30/2003,10/31/2003,5.207,11.122,22.463,28.881,0.007,0.058,0.053,37.536,,,F
25785,12/31/2002,9/30/2003,11/30/2003,7.646,14.515,16.5,21.639,0.01,0.045,0.073,40.775,,,F
25785,12/31/2002,9/30/2003,12/31/2003,9.268,14.515,20,26.23,0.01,0.045,0.073,40.775,,,F
25785,12/31/2002,9/30/2003,1/31/2004,8.422,14.515,18.175,23.836,0.01,0.045,0.073,40.775,,,F
25785,12/31/2003,12/31/2003,2/29/2004,14.408,9.359,27.5,50.926,0.006,0.075,0.046,25.087,,,F
25785,12/31/2003,12/31/2003,3/31/2004,14.222,9.359,27.14,50.259,0.006,0.075,0.046,25.087,,,F
25785,12/31/2003,12/31/2003,4/30/2004,16.094,9.359,30.72,56.889,0.006,0.075,0.046,25.087,,,F
25785,12/31/2003,3/31/2004,5/31/2004,14.779,15.788,15.632,20.625,0.012,0.042,0.091,28.877,,,F
25785,12/31/2003,3/31/2004,6/30/2004,15.576,15.788,16.474,21.736,0.012,0.042,0.091,28.877,,,F
25785,12/31/2003,3/31/2004,7/31/2004,14.65,15.788,15.495,20.444,0.012,0.042,0.091,28.877,,,F
25785,12/31/2003,6/30/2004,8/31/2004,15.433,11.955,11.023,13.187,0.016,0.055,0.127,25.053,,,F
25785,12/31/2003,6/30/2004,9/30/2004,15.367,11.955,10.977,13.131,0.016,0.055,0.127,25.053,,,F
25785,12/31/2003,6/30/2004,10/31/2004,14.252,11.955,10.18,12.178,0.016,0.055,0.127,25.053,,,F
25785,12/31/2003,9/30/2004,11/30/2004,17.059,9.823,10.201,11.528,0.017,0.067,0.146,21.697,,,F
25785,12/31/2003,9/30/2004,12/31/2004,17.613,9.823,10.532,11.902,0.017,0.067,0.146,21.697,,,F
